Contribution Evaluation,"PREPARATION PHASE
To understand the work that different people in ALANA go through we require template workflows. The following examples attempt to unravel the mysteries.",,,"ESTIMATION PHASE
Before initiating any work, we evaluate the scope, requirements, and expected outcomes. This evaluation includes scoring the project based on its reach, impact, and the effort required.",,,,"EXECUTION PHASE
This phase involves carrying out the tasks necessary for project completion. It requires effective coordination among team members to meet the set objectives.",,"FINAL RESULT
","REVIEW PHASE
Upon completing the work, we measure audience impact and distribute a bonus upon how the project impacts the real world/ audience reception.",,
"Writing Product Specific Documentation

* Example calculation based on ALANAmagazine","Infrastructure & Strategy, ALANAmagazine, ALANA AI, ALANAboutique, ALANAworld","What does it take to write product-specific documentation in ALANA?
- If you don't know the ins and outs of the specific product you are supposed to write documentation about, make sure to first inform yourself. You can do so by contacting a responsible Nucleus Guardian.
- Set up a meeting and prepare a concise but well-thought-through questionnaire to cover all ground.
- Write comprehensive documentation for the specific product in ALANA. Include all topics of relevance.
- Have the responsible Nucleus Guardian proofread your work and at least one other member of ALANA to ensure accuracy.
- Hand over the documentation to the Brand Identity & Socials team for implementation.","What tools are required?
- Access to Word or similar
- Access to docs/ GitHub or the website manager","1,453",2.5,0.5,35.00%,90.00%,961,961,,,
"Writing Important General Documentation

* Example calculation based on the ALANA Manifesto",Infrastructure & Strategy,"What does it take to write general documentation for ALANA? 
We recommend that Nucleus Guardians only complete this task, using Ros Atkins's ""The Art of Explanation"" as a guide.
- A holistic understanding of the entirety of The ALANA Project or one of its specific branches.
- Set-up: Ask the right questions about your audience and what exactly you want them to understand.
- Find the information: Gather initial information to understand the topic better and identify key points to cover
- Distil the information: Break it down to the most necessary parts of information needed and remind yourself of the original purpose of this article
- Organize the information: All information comes in sections, make sure the sections are ordered in a meaninful way to convey the core of your story 
- Link the information: Link the information for credibility and literally but also ensure it works in alignment with The ALANA Project brand and brand voice
- Tighten: Take a step away from your article and make sure you are using clear and simple examples to explain. This is like a last step over analyzation to make sure the content is delivered in the best way possible.
- Delivery: Create befitting visuals and deliver in multiple formats across ALANA's socials.","What tools are required?
- Access to Word or similar
- Access to docs/ GitHub or the website manager","1,453",2.5,0.5,50.00%,90.00%,"1,373","1,373",0,"1,373",
"An ALANA Livestream/ Podcast

* Example calculation based on the idea of an ALANAmagazine Podcast","Onboarding, ALANAmagazine, ALANA AI","What does it take to hold an ALANA Livestream/ Podcast?
- Reach out to the person of interest for the session and check their interest and availability
- Send a follow-up email to request their headshot (graphic) and bio (YouTube description box)
- Set up the graphics for the event in collaboration with the branding team
- Schedule the event itself on the different social media channels in collaboration with the social media team (help with the promotion of it by sharing)
- Set up a script sheet with the interview questions
- Have a briefing meeting with them to inquire how to best represent their interests as well
- Set up the Livestream platform 
- Brief meeting/ conversation to inquire satisfaction of the interviewee","What tools are required?
- Access to Google Sheets
- Access to ALANA Figma
- Access to Streaming Platform
- Access to Streamlabs","1,453",1.5,1.5,60.00%,70.00%,"1,098","1,098",0,"1,098",
"Event Managing

* Example calculation based on previous experiences","Onboarding, ALANAmagazine","What does it take to hold an ALANA Livestream/ Podcast?
- Work together with the host to reach out to potential guests and/ or co-hosts for the session and check their interest and availability
- Send a follow-up email to request their headshot (graphic), bio (YouTube description box) and social links (we have a template for this)
- Set up the graphics for the event in collaboration with the branding team
- Schedule the event itself on the different social media channels in collaboration with the social media team (help with the promotion of it by sharing)
- Set up the Livestream platform and send the link to everyone.
- Brief meeting/ conversation to inquire about the satisfaction of all participants","What tools are required?
- Access to Google Sheets
- Access to ALANA Figma
- Access to Streaming Platform
- Access to Streamlabs","1,453",0.5,2,50.00%,70.00%,763,763,,,
"Event Hosting/ Moderation

* Example calculation based on previous experiences","Onboarding, ALANAmagazine","What does it take to moderate/ host an event for ALANA?
(This task requires a close collaboration with the Event Manager!)
- Work together with the manager to reach out to potential guests and/ or co-hosts for the session and check their interest and availability
- Set up a script sheet with the interview questions 
- Reshare the official announcements on socials
- Have a briefing meeting with them to inquire how to best represent their interests as well","What tools are required?
- Access to Google Sheets
- Access to ALANA Figma
- Access to Streaming Platform
- Access to Streamlabs","1,453",0.5,2,23.00%,70.00%,351,351,0,351,
"Webinar

* Example calculation based on previous experiences","Onboarding, ALANA AI","What does it take to hold an ALANA Webinar?
- Investigate a topic of interest with the community.
- Look for potential partners to bring in additional audiences and provide exposure to them.
- Prepare the Webinar flow and share it with the co-hosts. Get their confirmation/ approval.
- Set up the graphics for the event in collaboration with the branding team.
- Schedule the event itself on the different social media channels in collaboration with the social media team (help with the promotion of it by sharing).
- Have a brief meeting with the co-host.
- Set up the Livestream platform.
- Brief meeting/ conversation to inquire satisfaction of the co-host/ partner.","What tools are required?
- Access to Milanote
- Access to ALANA Figma
- Access to Streaming Platform
- Access to Streamlabs","1,453",2,2.5,70.00%,70.00%,"1,922","1,922",0,"1,922",
"Onboarding new Community Members

* Example calculation based on previous experiences",Onboarding,"What does it take to onboard new community members to ALANA?
- Fundamental knowledge of The ALANA Project and its workings.
- Greet new members in Discord/ Telegram and engage with them actively to provide guidance.
- If they have gone through the different steps of onboarding, offer more assistance if they are interested in joining a branch.
Potentially, a one-on-one call (Nudleus Guardian) will be made to determine their alignment and the best-suited branch for them.
- Maintain a relationship with the onboarded members and keep engaging with them.
- Lend members a hand in resharing their content while offering them our to share as well.","What tools are required?
- Access to Discord/ Telegram","1,453",0.5,0.5,15.00%,90.00%,118,"1,530",0,118,"""Final Result"" is for onboarding in one-on-one calls with 20 new contributors to The ALANA Project (could be group calls as well)"
"Community Protection Patrol

* Example calculation based on previous experiences",Onboarding,"What does it take to Patrol the ALANA community servers (Discord/ Telegram)?
- Regularly check the status of security protocol bots.
- Periodically scan channels for any suspicious activity such as shilling or sharing malicious links.
- Utilize bot commands after manual inspection to identify and remove any offending content.
- Maintain a mod log channel to document all actions taken against users.
- Keep a keen eye out for new potential risk and scams so to alert the community to vigilent.","What tools are required?
- Access to Discord Mod permissions
- Access to Wick Bot
- Access to Mee6 bot
- Access to Carl bot","1,453",2.5,0.25,45.00%,65.00%,701,701,0,701,4 times a year payout schedule if done properly!
"Communication Platform Maintainance

* Example calculation based on the re-design of the Discord experience","Onboarding, Brand Identity & Socials","What does it take to re-design or maintain existing community platforms?
- Understand the pain points of the current experience and ask for help from the Brand Identity & Socials team to understand the target audience even better.
- Gather insights from the current audience via a survey and evaluate feedback.
- With the new data in hand, plan the layout and user flow of the new experience or adjustments in Milanote, Figma, or similar.
- Adjustments or maintenance can also include security updates or the integration of new automation/ bots and might require additional skills and understanding.
- Open a public conversation about the new experience and gather feedback.
- Refine the experience with the user feedback gathered and implemented. 
- Implement the adjustments as planned.
- Keep refining as needed and conduct frequent audits to ensure seamless user flow.","What tools are required?
(We are currently transitioning the community to Telegram. This would be a great example.)
- Planning tools like Milanote
- Mock-up tools like Figma
- Admin Access to the platform in question","1,453",1.5,1.5,10.00%,70.00%,183,183,0,183,
"Design, Implement, Innovate and Maintain Onboarding Experiences

* Example calculation based on the ALANA Web3 LEARNER Journey","Onboarding, Brand Identity & Socials","What does it take to design, implement, innovate, and maintain onboarding experiences for ALANA?
- Understand the target audience in collaboration with the Brand Identity & Socials team.
- Refine expectations and user flow and design a survey to gather insights from ALANA's existing community.
- Create/ design a mockup or plan for the onboarding experience.
- Open a public conversation about the new experience and gather feedback.
- Refine the experience with the user feedback gathered and implemented. If needed hand over to the website team after receiving approval from the Brand Identity & Socials team.
- Test the journey with the core ALANA audience before publishing it fully.
- Keep refining as needed and conduct frequent audits to ensure seamless user flow.","What tools are required?
(Various tools can be researched and used for this, we have used zealy before and will now design a custom experience directly implemented into our website.)
- Planning tools like Milanote
- Mock-up tools like Figma","1,453",2,1.5,70.00%,70.00%,"1,495","1,495",0,"1,495",
"Social Media Management for one channel

* Example calculation based on previous experiences",Brand Identity & Socials,"What does it take to manage one social media channel for ALANA?
- Plan content by observing the overall ongoing in ALANA (sometimes also short notice)
- Create a content calendar 
- Manage correct timing of posts and fix common errors, final edits, social media planning and plan execution, requests ""Content Creator"" for relevant ads and assets","What tools are required?
- Social Media platform access 
- Milanote access for planning
- Figma access for graphic adaptions and brand assets for light content like stories","1,453",1.2,1.5,15.00%,70.00%,206,206,0,206,
"Social Media Content Creation

* Example calculation based on previous experiences",Brand Identity & Socials,"What does it take to create content for ALANA's social media channels?
(Here, the Battery Life Bar value is essential to ensure fair output values. We recommend to use 5%+ for a still graphic and 15%+ for videos.)
- Utilize existing content pillars and themes to develop content—the same counts for the brand identity.
- Use the platform manager to tap into trending topics and hashtags in the ALANA niches.
- Write engaging captions and copy for posts while scripting and storyboarding video content.
- Film the video content and source images if needed (or use AI tools to generate them).
- Design final graphics and edit photos for still image posts. Use video editing software for video posts. Add captions and subtitles to videos. Incorporate branded elements and logos.  Add music, sound effects, and voiceovers to videos as needed.
- Develop eye-catching thumbnails. 
- Resize and format content for different social platforms.
- Add to the content calendar (depends on the amount of content).","What tools are required?
- Google Docs or similar
- Access to Milanote
- Access to Figma
- Adobe Illustrator
- Midjourney, Comfy UI or similar","1,453",1,1,5.00%,70.00%,51,51,0,51,
"Brand Collaboration/PR

* Example calculation based on previous experiences","Brand Identity & Socials, ALANAmagazine, ALANA AI, ALANAboutique, ALANAworld","What does it take to develop Brand Collaborations with ALANA?
- Either respond to brand and company inquiries about collaborations or target specific brands from within the ALANA Brand Identity & Socials team.
- For either case, research the brands and gather information to present to the team. Thoroughly analyze brand alignments, benefits, and risks.
- Responds via social platforms or email and set up a meeting to discuss details of a possible collaboration.
- Take the meeting and draft a collaboration agreement that both parties need to sign to make it valid.
- Involve additional teams for the execution if neccessary.
- Launch the campaign.","What tools are required?
- Email Access
- Calendly or similar
- Google Docs or similar
- Access to Milanote
- Access to Figma
- Adobe Illustrator
- Midjourney, Comfy UI or similar","1,453",2,0.5,45.00%,70.00%,572,572,0,572,
"Brand Identity Kit Maintainance

* Example calculation based on the partial evaluation of the existing brand identity kit",Brand Identity & Socials,"What does it take to maintain and add value to the existing ALANA Brand Identity Kit?
- Conduct periodic audits of brand usage across all platforms to ensure compliant usage of branded assets
- Update visual elements to keep the brand fresh and relevant.
- Refine messaging to align with evolving company values and goals.
- Create new templates for emerging digital platforms as needed. The same applies to logos, colors, and typographic elements.
- Use a feedback system to report brand inconsistencies and conduct regular branding workshops for members and partners.
- Use data insights to refine and improve brand guidelines.","What tools are required?
- Access to Figma
- Adobe Illustrator
- Midjourney, Comfy UI or similar
","1,453",0.25,2,10.00%,90.00%,147,147,,,
"Branded Asset Creation

* Example calculation based on previous experiences",Brand Identity & Socials,"What does it take to create Branded Assets for ALANA?
(This is ONLY for crafting truly new elements; don't use it for maintenance procedures or when utilizing existing assets.)
- Use the existing brand identity kit as a reference to build upon it.
- Use the Figma space to craft new elements as needed.","What tools are required?
- Access to Figma
- Adobe Illustrator
- Midjourney, Comfy UI or similar
","1,453",0.25,2.5,10.00%,90.00%,180,180,,,
"Website Maintainance/ Updates

* Example calculation based on the ALANAmagazine cover competition website","Brand Identity & Socials, ALANAmagazine, ALANA AI, ALANAboutique, ALANAworld","What does it take to keep the existing website(s) for ALANA accessible and in excellent condition?
- Perform regular website maintenance and updates, including bug fixes, security patches, content updates, and minor enhancements.
- Add sub-pages when needed.
- Implement new functionalities as they are available and make sense. ","What tools are required?
- GitHub Team Access
- Access to Figma
- Access to other required tools or resources 
","1,453",0.25,2,10.00%,90.00%,147,147,0,147,
"Product Website Design

* Example calculation based on the ALANAmagazine website","Brand Identity & Socials, ALANAmagazine, ALANA AI, ALANAboutique, ALANAworld","What does it take to design & mock-up a product website for ALANA?
- Define website goals and target audience and factor in the overall ALANA brand identity.
- Outline content requirements for each page and sub-pages.
- Sketch rough layouts for the homepage and sub-pages and factor in the user flow and navigational structure.
- Use the existing brand identity for color schemes and typographic elements. Create consistent UI elements (buttons, forms, icons).
- Design hover states and micro-interactions. Plan for any interactive features (e.g., product galleries, FAQ accordions).
- Design high-fidelity prototypes (mock-ups) for the homepage and sub-pages in Figma.
- Don't forget to create mockups for responsive layouts (desktop, tablet, mobile)
- Write compelling copy for each page and source or create product images and graphics. Develop any necessary diagrams or infographics.
- Gather feedback from community members and refine the mock-up according to the feedback received.
- Prepare final mock-ups for handoff to development team.","What tools are required?
- GitHub Team Access
- Access to Figma
- Access to other required tools or resources 
","1,453",0.25,2.5,90.00%,90.00%,"1,618","1,618",0,"1,618",
"ALANAmagazine Content Curation

* Example calculation based on previous experiences",ALANAmagazine,"What does it take to curate content for ALANAmagazine? 
- Ensure alignment with the magazine's theme
- Understand the preferences and interests of your audience
- Compile a list of reliable sources, including blogs, articles, and industry topics of interest
- Provide your own insights or summaries to enhance the curated content and prepare for meeting presentations
- Structure the content flow in a way that is engaging and easy to navigate for readers","What tools are required?
- Google Sheets or similar (https://docs.google.com/spreadsheets/d/1-yflUwSJk3rc4LRGuUVjDcbCnjExIWCkmU68WqizC78/edit?usp=sharing)","1,453",0.25,2.5,40.00%,84.00%,537,537,,,Gets multiplied by the different articles and sections in the ALANAmagazine.
"ALANAmagazine Editorial Curation and Management

* Example calculation based on an AI tutorial curation",ALANAmagazine,"What does it take to curate and manage a Fashion Editorial for ALANAmagazine?
(Every ALANAmagazine has four fashion editorials. The Battery Life Bar value is essential to ensure fair output values. We recommend using 50%+ for AI Editorials and 80%+ for 3D Editorials.)
- Develop the editorial concept and theme with the current edition's theme in mind.
- Create a mood board to visualize the editorial direction. 
- Submit your credentials as art directors to the ALANAmagazine team, including bio, links, and a high-res portrait image of yourself (preferably B/W).
- For 3D Editorials: Create a 3D environment that will serve as the rendering environment for the fashion editorial.
- For 3D Editorials: Create the model or models you aim to use for the final renderings.
- A timeline needs to be established depending on the submission type (AI or 3D files).
- Provide all necessary information to the ALANAmagazine website team so a submission page can be established containing all necessary indications for the community to submit their work. 
- Upon the submission deadline, ensure a fair selection process for the winning submissions.
- For AI Editorials: Artdirect the final curation list and provide indications for lighting, color grading, and any other type of formatting to the ALANAmagazine team.
- For 3D Editorials: Refit and implement all outfits into the 3D environment for rendering. Artdirect the final curation list and provide indications for lighting, color grading, and any other type of formatting to the ALANAmagazine team.","What tools are required?
- Access to Milanote
- Access to Website submissions
- Blender or similar
- CLO 3D, Marvelous or similar
- Figma or similar
- Photoshop or similar","1,453",0.25,3,50.00%,90.00%,850,850,,,
ALANAmagazine Contributor Management,ALANAmagazine,"What does it take to manage a contributor for ALANAmagazine? 
- Actively seek out new voices to expand the diversity of perspectives (according to curated content)
- Establish clear expectations for content quality, formatting, deadlines, etc.
- Have contributors sign an agreement outlining terms, rights, compensation, etc.
- Appoint an editor to work closely with each contributor
- Provide a clear process for contributors to submit article drafts
- Work with contributors to improve content quality through multiple rounds of feedback
- Hold contributors accountable to agreed-upon deadlines to maintain the publication schedule
- Check in with contributors frequently to address questions and provide support","What tools are required?
- Google Sheets or similar
- Calendly
- Video Call Software","1,453",0.25,1.5,30.00%,50.00%,153,153,0,,
ALANAmagazine Interview Coordination,ALANAmagazine,"What does it take to manage and coordinate an interview for ALANAmagazine?
- Determine the person to interview along the content curation sheet
- Gather information about the interviewee to formulate insightful questions and understand their perspective
- Contact the interview subject to request an interview, providing details about the magazine and the purpose of the interview
- Develop a list of questions that guide the conversation while allowing flexibility for organic discussion
- Ensure you have the necessary recording devices, note-taking tools, and any other equipment needed for the interview
- Capture the interview either through recording (with permission) or by taking detailed notes to reference later
- After the interview, reach out if you need further clarification on any points discussed","What tools are required?
- Google Sheets or similar
- Video Recording Software (e.g. OBS)
- Video Call Software
- Social media accounts for outreach","1,453",0.25,0.5,40.00%,75.00%,131,131,,,
"ALANAmagazine Article Writing

* is already incentivized with $0.15/ word",ALANAmagazine,"What does it take to write an article for ALANAmagazine?
- If the article is based on a previously recorded interview, convert the conversation into text for easier reference and to facilitate the writing process
------
- If the article is not a recorded interview, select a relevant topic from the content curation sheet
- Gather initial information to understand the topic better and identify key points to cover
- Compile a list of credible sources, including books, articles, interviews, and expert opinions
- If applicable, include images, infographics, or other visuals to enhance the content and break up text
- Write the first draft based on your outline, including an engaging introduction, body paragraphs, a conclusion and potentially direct quotes
- Review the draft for clarity, coherence, and flow, making necessary revisions to improve the overall quality
- Check for grammatical errors, typos, and formatting issues to ensure the article is polished and professional
- Share the article with an editor or peer for constructive feedback before final submission
- Make any final adjustments based on feedback and submit the article according to the magazine's guidelines","What tools are required?
- Google Sheets or similar
- Google Docs or similar
- Social media accounts for outreach","1,453",0.25,2.5,60.00%,80.00%,767,767,,,
ALANAmagazine Short-form Content Writing,ALANAmagazine,"What does it take to write short-form content for ALANAmagazine?
- Along the content curation sheet, pick a topic
- Gather relevant information and data to support the article, ensuring it is accurate and credible
- Organize the main points and structure the short-form content logically, keeping it brief and to the point
- If applicable, include images, infographics, or other visuals to enhance the content and break up text
- Revise the draft to eliminate unnecessary words and ensure the message is clear and impactful
- Check for grammatical errors, typos, and formatting issues to ensure professionalism
- Send the short-form content to an editor or peer for feedback before finalizing it for publication","What tools are required?
- Google Sheets or similar
- Google Docs or similar
- Social media accounts for outreach","1,453",0.25,2,30.00%,80.00%,314,314,,,
